lat;long;order;dialect
9.0163048;57.1582765;1;NV
9.0122999;57.1562173;2;NV
9.0006269;57.156031;3;NV
8.9887823;57.1568689;4;NV
8.9829458;57.1583585;5;NV
8.9719595;57.1566828;6;NV
8.9618314;57.154169;7;NV
8.9496435;57.1490478;8;NV
8.9367689;57.1424358;9;NV
8.920976;57.1364747;10;NV
8.8967718;57.127438;11;NV
8.867246;57.1182127;12;NV
8.8294805;57.109358;13;NV
8.7853636;57.1025524;14;NV
8.7724889;57.1008741;15;NV
8.7606424;57.0996621;16;NV
8.7530464;57.0989161;17;NV
8.7441629;57.0988928;18;NV
8.7397426;57.0992192;19;NV
8.7371677;57.1000583;20;NV
8.731932;57.101084;21;NV
8.7288851;57.1021562;22;NV
8.7260097;57.1027156;23;NV
8.7224048;57.1028555;24;NV
8.7193579;57.1036946;25;NV
8.7163967;57.1041375;26;NV
8.7126613;57.1058314;27;NV
8.6987567;57.1084417;28;NV
8.689487;57.1115179;29;NV
8.677814;57.1145006;30;NV
8.668716;57.1158054;31;NV
8.6568713;57.1182286;32;NV
8.6484599;57.1199061;33;NV
8.6390186;57.1219563;34;NV
8.6270023;57.1228881;35;NV
8.626144;57.1247518;36;NV
8.6239124;57.1245654;37;NV
8.6209941;57.1260562;38;NV
8.6194492;57.1268017;39;NV
8.6135532;57.1247701;40;NV
8.6077167;57.1231161;41;NV
8.602996;57.1221842;42;NV
8.6017086;57.1232559;43;NV
8.5993911;57.1249098;44;NV
8.5980608;57.1242576;45;NV
8.5958721;57.1232792;46;NV
8.5921384;57.12272;47;NV
8.5896923;57.1222541;48;NV
8.5908073;57.1198767;49;NV
8.5774177;57.1076665;50;NV
8.5628265;57.0932141;51;NV
8.5551017;57.0852863;52;NV
8.5494369;57.0801556;53;NV
8.5415405;57.0736246;54;NV
8.5345023;57.0673724;55;NV
8.5278075;57.0632659;56;NV
8.5114997;57.0516906;57;NV
8.4996551;57.0459016;58;NV
8.4938186;57.0434737;59;NV
8.4874671;57.0434737;60;NV
8.4818023;57.044034;61;NV
8.4780257;57.0450612;62;NV
8.4735625;57.0430068;63;NV
8.4677261;57.0388976;64;NV
8.4651511;57.0348814;65;NV
8.4538215;57.023671;66;NV
8.4382003;57.0091859;67;NV
8.4117644;56.9866527;68;NV
8.4031814;56.9788891;69;NV
8.393225;56.9718725;70;NV
8.3818954;56.9639187;71;NV
8.3748573;56.9612046;72;NV
8.3697074;56.9600815;73;NV
8.3661025;56.9593328;74;NV
8.3633559;56.9608303;75;NV
8.3587211;56.9556824;76;NV
8.3499664;56.9449163;77;NV
